recipe_id,carbs,dairy,meat,oil,saucy,sugar,veg
60505,,3.0,,,,,1.0
60510,,4.0,,,,,1.0
60911,,,,,,1.0,1.0
62151,,,,,,1.0,2.0
62761,,,,,8.0,,
64819,,1.0,,1.0,,,3.0
64845,,1.0,,,,,1.0
65361,,1.0,,,,,2.0
65486,,1.0,,,,,
67061,,,1.0,1.0,,1.0,4.0
67185,,,,,,1.0,
68002,,,,,8.0,,
69564,,1.0,1.0,,,,2.0
70447,,3.0,,2.0,,,4.0
71145,1.0,2.0,1.0,,,,1.0
71377,1.0,,,,,1.0,
72102,,1.0,,1.0,,,1.0
72429,,,,,4.0,,
73021,,2.0,1.0,1.0,,,1.0
73833,,,1.0,1.0,,1.0,2.0
74707,,,,,6.0,,
76121,,2.0,,,,,
77430,,2.0,,,,,1.0
78352,,1.0,1.0,,,,3.0
79566,,2.0,,1.0,,1.0,2.0
80435,,,,,,,2.0
83087,2.0,,,1.0,,1.0,1.0
84009,,,1.0,1.0,,,4.0
84158,,2.0,1.0,,,1.0,
84182,1.0,1.0,1.0,,,1.0,2.0
85965,,5.0,2.0,,,,1.0
86516,,,,,7.0,,
86654,,,1.0,,,,
86888,,1.0,,,,1.0,1.0
87470,,2.0,,,,2.0,1.0
87524,,,,,8.0,,
87899,,3.0,,1.0,,,2.0
87990,,1.0,1.0,1.0,,,1.0
88599,1.0,,,,,,1.0
91700,,2.0,1.0,,,,
93213,,2.0,1.0,,,,1.0
96565,,4.0,,,,,
100008,,,,,,1.0,
100612,,2.0,,,,,
101839,,,,,,,1.0
107945,,,,,4.0,,
108788,,3.0,,,,,2.0
112134,,,,,,1.0,1.0
125533,,4.0,1.0,,,2.0,1.0
130764,,1.0,,,,,2.0
131045,,4.0,,,,2.0,1.0
132109,,1.0,1.0,,,,1.0
140574,,2.0,,,,,
141532,,2.0,,,,1.0,1.0
142993,,,,,9.0,,
146246,,1.0,,1.0,,1.0,1.0
146995,,,,,,1.0,1.0
148368,,,,,9.0,,
148794,,1.0,,,,,
149686,1.0,1.0,1.0,1.0,,,1.0
151060,,,,,,1.0,1.0
151800,,,1.0,,,1.0,
152000,,2.0,,,,,
152291,,3.0,1.0,,,1.0,1.0
152453,,1.0,,1.0,,,
155728,,2.0,,,,3.0,
158960,,,,,9.0,,
159972,,2.0,,1.0,,,1.0
162024,,3.0,,,,,2.0
162183,,2.0,,,,2.0,1.0
163677,,,,,,1.0,
163808,1.0,1.0,,1.0,,,1.0
164066,,1.0,1.0,1.0,,,2.0
165553,,2.0,,,,1.0,
166933,,,2.0,,,,1.0
167060,1.0,2.0,,,,1.0,
168579,1.0,1.0,,2.0,,3.0,3.0
174084,,,,,,1.0,1.0
183179,,1.0,,2.0,,1.0,2.0
185859,,,,1.0,,,2.0
186476,,,,,3.0,,
187175,,2.0,1.0,1.0,,,
188286,,,2.0,1.0,,1.0,2.0
188444,,,,,,2.0,5.0
188694,,2.0,,,,,
188958,,1.0,,1.0,,,2.0
189389,,1.0,,1.0,,,3.0
192124,,1.0,2.0,,,,
194766,,3.0,,,,1.0,
195993,,,,,7.0,,
200337,1.0,5.0,,1.0,,,3.0
203240,,3.0,1.0,,,4.0,2.0
206583,,1.0,,1.0,,,1.0
212449,,2.0,,1.0,,1.0,2.0
212692,,2.0,1.0,,,2.0,
212833,,5.0,1.0,,,2.0,
212930,1.0,,3.0,,,1.0,2.0
213009,,1.0,1.0,,,,1.0
213206,,2.0,,1.0,,,4.0
213584,,5.0,1.0,,,2.0,
213586,,6.0,,,,1.0,
214111,,,,,,1.0,1.0
214660,,1.0,,,,1.0,1.0
214695,1.0,3.0,,,,1.0,
214864,,1.0,,1.0,,,1.0
214892,1.0,,,1.0,,,
214927,,4.0,,1.0,,,2.0
214955,,,,,8.0,,
215054,,,,,,1.0,1.0
215157,1.0,,,1.0,,1.0,3.0
215345,,,,,1.0,,
215488,,2.0,1.0,,,,
216019,1.0,1.0,,,,2.0,1.0
216437,,,,,9.0,,
216456,,3.0,,,,1.0,
216796,,2.0,,,,2.0,
217016,,,,1.0,,,5.0
217162,,1.0,1.0,,,,3.0
217205,,1.0,1.0,,,2.0,
217962,,2.0,,,,1.0,
217975,,1.0,,1.0,,,2.0
218076,1.0,,1.0,1.0,,,
218909,,1.0,3.0,,,,2.0
218925,,,,,5.0,,
219338,,,,,8.0,,
219888,,,,,17.0,,
220418,,2.0,1.0,1.0,,,1.0
220468,1.0,1.0,,,,1.0,
220516,1.0,3.0,,,,,1.0
220923,,,1.0,,,,4.0
220927,,,,,6.0,,
221012,1.0,,1.0,,,,3.0
221296,,3.0,1.0,1.0,,,1.0
221313,,1.0,,,,,
221521,1.0,,,1.0,,2.0,2.0
221950,2.0,,1.0,1.0,,1.0,2.0
222232,,,,,12.0,,
222630,,2.0,1.0,1.0,,1.0,1.0
222860,,,,,,,2.0
222869,1.0,,1.0,,,,3.0
222877,,,,,3.0,,
223041,,4.0,1.0,1.0,,1.0,1.0
223137,,3.0,,2.0,,1.0,
223198,,,,1.0,,,2.0
223550,1.0,,,1.0,,1.0,3.0
223579,,,,1.0,,1.0,
228078,1.0,2.0,,,,,1.0
228109,,,3.0,,,,
228135,,2.0,,,,,1.0
228284,,3.0,,1.0,,,1.0
228339,1.0,,,,,1.0,1.0
228646,,,,1.0,,,1.0
