recipe_id,carbs,dairy,meat,oil,sugar,veg
62151,,,,,1.0,2.0
64356,,1.0,1.0,,,2.0
65896,,,1.0,,1.0,
66779,,2.0,1.0,1.0,,2.0
69520,1.0,,,1.0,2.0,
70675,,2.0,,3.0,,3.0
71632,,3.0,1.0,,,4.0
72565,,1.0,,1.0,,3.0
72815,,4.0,,,2.0,1.0
73110,,1.0,,,,1.0
73346,,,1.0,,,1.0
73757,,,1.0,1.0,,2.0
73888,1.0,3.0,1.0,,,1.0
74430,,1.0,,,,
74650,,3.0,2.0,,1.0,3.0
75129,,1.0,,,,1.0
75256,,1.0,,1.0,1.0,2.0
76202,,,,,2.0,
76373,,,2.0,1.0,2.0,2.0
76979,2.0,,2.0,,2.0,3.0
77035,1.0,,,,,1.0
77452,,2.0,1.0,,,3.0
79538,,,,,,1.0
79639,,1.0,1.0,,,2.0
80285,,,1.0,,,8.0
81283,,,,1.0,,4.0
82135,,1.0,1.0,,,2.0
83437,,,,,,2.0
84411,1.0,,,1.0,,5.0
84923,1.0,2.0,1.0,,,
85477,,,1.0,1.0,2.0,2.0
86012,,1.0,,,,2.0
86091,,,,,,1.0
87020,,1.0,1.0,,,
89033,,,,1.0,,2.0
89316,,,,1.0,,4.0
90251,,2.0,,,,2.0
90295,,2.0,,2.0,2.0,
90547,,,,,,1.0
91471,1.0,,1.0,,1.0,
91837,,1.0,3.0,,,1.0
92617,,2.0,,,,
93648,,1.0,,1.0,1.0,1.0
97456,,1.0,,,1.0,
97500,,4.0,,,2.0,1.0
100338,,1.0,1.0,,2.0,2.0
104996,,2.0,1.0,1.0,1.0,2.0
107512,,2.0,,,1.0,
110090,,,,1.0,,
127500,,1.0,1.0,1.0,,1.0
129033,,1.0,1.0,1.0,3.0,1.0
134483,1.0,,,,,2.0
137903,,,1.0,1.0,1.0,1.0
139275,,3.0,,,1.0,
140597,,1.0,,,,1.0
142013,,1.0,,1.0,,2.0
143809,1.0,,,1.0,,2.0
144909,,1.0,,1.0,,3.0
145061,,1.0,,,,2.0
145943,,1.0,,,,1.0
146626,,1.0,,1.0,,1.0
148852,,3.0,1.0,1.0,3.0,
149397,,,,1.0,,
150230,,2.0,2.0,,,3.0
150325,,,,1.0,1.0,
150344,,2.0,,1.0,,
159003,1.0,,,,,
160371,,2.0,,,3.0,
161632,,,,,,2.0
163851,1.0,,,1.0,,
166252,1.0,,,,2.0,1.0
168579,1.0,1.0,,2.0,2.0,4.0
169322,,,2.0,1.0,1.0,2.0
171738,,1.0,,1.0,1.0,5.0
173451,,4.0,,,2.0,
175352,,2.0,1.0,,,
176707,,,1.0,1.0,,1.0
176930,,1.0,,,,1.0
178033,,4.0,,,,1.0
180653,,,1.0,1.0,1.0,5.0
185564,,1.0,,,,1.0
186934,,,,1.0,2.0,2.0
194356,,1.0,,,,
198296,,2.0,,1.0,,1.0
198656,1.0,1.0,,1.0,,3.0
201182,2.0,,1.0,,,1.0
203961,,,2.0,2.0,,3.0
204426,,2.0,,,,
204821,,1.0,1.0,1.0,,1.0
207245,,,,,,5.0
211361,,3.0,,1.0,1.0,1.0
212697,1.0,,,,1.0,3.0
212772,,,,1.0,1.0,4.0
213654,,1.0,,1.0,,3.0
213717,,,1.0,1.0,,3.0
213994,1.0,2.0,2.0,1.0,,2.0
214000,1.0,1.0,1.0,,2.0,1.0
214498,,3.0,,,1.0,
214646,,,,,,2.0
214679,1.0,1.0,1.0,1.0,,3.0
214748,,2.0,,,2.0,
214898,,2.0,,1.0,,1.0
214938,,1.0,,,,2.0
215011,,3.0,,,1.0,
215038,,1.0,1.0,,,1.0
215055,,,,1.0,,2.0
215084,1.0,,2.0,,1.0,6.0
215978,,,,1.0,,2.0
216048,,1.0,1.0,1.0,,2.0
216080,,4.0,,,,1.0
